date,parameter,units,SiteID,org,org_id,time,value,sample_method,analytical_method,particle_size,date_time,media,sample_depth
2005-05-23,Copper,NA,AR-3A,California Gulch (US EPA Region 8),0801478,22:30:00,NA,UNKNOWN,NA,NA,2005-05-23,Water,NA
2005-06-23,Cadmium,ug/l,CG-6,California Gulch (US EPA Region 8),0801478,13:14:00,0.00466,UNKNOWN,NA,NA,2005-06-23,Water,NA
2005-04-20,Cadmium,NA,AR-1,California Gulch (US EPA Region 8),0801478,21:00:00,NA,UNKNOWN,NA,NA,2005-04-20,Water,NA
2005-04-06,Cadmium,ug/l,CG-4,California Gulch (US EPA Region 8),0801478,08:59:00,0.0298,UNKNOWN,NA,NA,2005-04-06,Water,NA
2005-05-21,Cadmium,NA,AR-3A,California Gulch (US EPA Region 8),0801478,22:30:00,NA,UNKNOWN,NA,NA,2005-05-21,Water,NA
2005-05-11,Cadmium,ug/l,CG-4,California Gulch (US EPA Region 8),0801478,17:00:00,0.0304,UNKNOWN,NA,NA,2005-05-11,Water,NA
2005-04-23,Cadmium,ug/l,CG-6,California Gulch (US EPA Region 8),0801478,09:28:00,0.00858,UNKNOWN,NA,NA,2005-04-23,Water,NA
2005-04-21,Cadmium,ug/l,AR-1,California Gulch (US EPA Region 8),0801478,21:00:00,2.63e-4,UNKNOWN,NA,NA,2005-04-21,Water,NA
2005-04-04,Cadmium,ug/l,AR-3A,California Gulch (US EPA Region 8),0801478,20:59:00,3.78e-4,UNKNOWN,NA,NA,2005-04-04,Water,NA
2005-04-09,Cadmium,ug/l,CG-6,California Gulch (US EPA Region 8),0801478,21:58:00,0.0092,UNKNOWN,NA,NA,2005-04-09,Water,NA
2005-03-13,Cadmium,ug/l,AR-3A,California Gulch (US EPA Region 8),0801478,14:59:00,2.75e-4,UNKNOWN,NA,NA,2005-03-13,Water,NA
2005-05-02,Cadmium,ug/l,CG-6,California Gulch (US EPA Region 8),0801478,00:30:00,0.009130000000000001,UNKNOWN,NA,NA,2005-05-02,Water,NA
2005-03-21,Cadmium,ug/l,CG-6,California Gulch (US EPA Region 8),0801478,12:35:00,7.52e-4,UNKNOWN,NA,NA,2005-03-21,Water,NA
2005-04-14,Cadmium,ug/l,AR-3A,California Gulch (US EPA Region 8),0801478,23:00:00,0.0015400000000000001,UNKNOWN,NA,NA,2005-04-14,Water,NA
2005-09-15,Cadmium,ug/l,CG-4,California Gulch (US EPA Region 8),0801478,15:30:00,0.0173,UNKNOWN,NA,NA,2005-09-15,Water,NA
2005-09-15,Cadmium,ug/l,CG-4,California Gulch (US EPA Region 8),0801478,15:30:00,0.0167,UNKNOWN,NA,NA,2005-09-15,Water,NA
2005-05-06,Cadmium,ug/l,AR-3A,California Gulch (US EPA Region 8),0801478,10:30:00,6.25e-4,UNKNOWN,NA,NA,2005-05-06,Water,NA
2005-04-18,Cadmium,ug/l,CG-4,California Gulch (US EPA Region 8),0801478,17:20:00,0.0828,UNKNOWN,NA,NA,2005-04-18,Water,NA
2005-03-21,Cadmium,ug/l,CG-6,California Gulch (US EPA Region 8),0801478,13:59:00,7.52e-4,UNKNOWN,NA,NA,2005-03-21,Water,NA
2005-04-28,Cadmium,ug/l,AR-1,California Gulch (US EPA Region 8),0801478,08:30:00,2.19e-4,UNKNOWN,NA,NA,2005-04-28,Water,NA
2005-05-14,Cadmium,ug/l,AR-1,California Gulch (US EPA Region 8),0801478,20:30:00,2.72e-4,UNKNOWN,NA,NA,2005-05-14,Water,NA
2005-05-10,Cadmium,ug/l,AR-3A,California Gulch (US EPA Region 8),0801478,18:11:00,4.51e-4,UNKNOWN,NA,NA,2005-05-10,Water,NA
2005-03-22,Cadmium,ug/l,CG-4,California Gulch (US EPA Region 8),0801478,15:59:00,0.0174,UNKNOWN,NA,NA,2005-03-22,Water,NA
2005-03-11,Cadmium,ug/l,CG-6,California Gulch (US EPA Region 8),0801478,13:59:00,8.89e-4,UNKNOWN,NA,NA,2005-03-11,Water,NA
2005-03-30,Cadmium,ug/l,CG-4,California Gulch (US EPA Region 8),0801478,15:59:00,0.019399999999999997,UNKNOWN,NA,NA,2005-03-30,Water,NA
2005-04-29,Cadmium,ug/l,AR-1,California Gulch (US EPA Region 8),0801478,23:00:00,2.2600000000000002e-4,UNKNOWN,NA,NA,2005-04-29,Water,NA
2005-04-19,Cadmium,ug/l,AR-3A,California Gulch (US EPA Region 8),0801478,23:00:00,9.19e-4,UNKNOWN,NA,NA,2005-04-19,Water,NA
2005-05-15,Cadmium,ug/l,AR-1,California Gulch (US EPA Region 8),0801478,20:30:00,2.53e-4,UNKNOWN,NA,NA,2005-05-15,Water,NA
2005-05-07,Cadmium,ug/l,CG-6,California Gulch (US EPA Region 8),0801478,09:30:00,0.00679,UNKNOWN,NA,NA,2005-05-07,Water,NA
2005-03-20,Cadmium,NA,AR-3A,California Gulch (US EPA Region 8),0801478,14:59:00,NA,UNKNOWN,NA,NA,2005-03-20,Water,NA
2005-02-24,Copper,NA,AR-3A,California Gulch (US EPA Region 8),0801478,12:10:00,NA,UNKNOWN,NA,NA,2005-02-24,Water,NA
2005-04-17,Zinc,ug/l,CG-4,California Gulch (US EPA Region 8),0801478,16:00:00,17.2,UNKNOWN,NA,NA,2005-04-17,Water,NA
2005-04-10,Zinc,ug/l,AR-1,California Gulch (US EPA Region 8),0801478,20:59:00,0.023899999999999998,UNKNOWN,NA,NA,2005-04-10,Water,NA
2005-04-06,Zinc,ug/l,CG-6,California Gulch (US EPA Region 8),0801478,08:59:00,1.1,UNKNOWN,NA,NA,2005-04-06,Water,NA
2005-05-01,Copper,NA,AR-1,California Gulch (US EPA Region 8),0801478,08:30:00,NA,UNKNOWN,NA,NA,2005-05-01,Water,NA
2005-04-02,Copper,NA,AR-3A,California Gulch (US EPA Region 8),0801478,20:59:00,NA,UNKNOWN,NA,NA,2005-04-02,Water,NA
2005-04-08,Zinc,ug/l,CG-6,California Gulch (US EPA Region 8),0801478,09:58:00,3.73,UNKNOWN,NA,NA,2005-04-08,Water,NA
2005-04-14,Zinc,ug/l,AR-3A,California Gulch (US EPA Region 8),0801478,11:00:00,0.363,UNKNOWN,NA,NA,2005-04-14,Water,NA
2005-04-06,Zinc,ug/l,AR-1,California Gulch (US EPA Region 8),0801478,07:59:00,0.0178,UNKNOWN,NA,NA,2005-04-06,Water,NA
2005-04-19,Zinc,ug/l,AR-3A,California Gulch (US EPA Region 8),0801478,11:00:00,0.463,UNKNOWN,NA,NA,2005-04-19,Water,NA
