2014 Jun 03 11:05:55
                     Time,      [CH4]_ppm,   [CH4]_ppm_se,      [H2O]_ppm,   [H2O]_ppm_se,      [CO2]_ppm,   [CO2]_ppm_se,  [CH4_DRY]_ppm,[CH4_DRY]_ppm_se,  [CO2_DRY]_ppm,[CO2_DRY]_ppm_se,      GasP_torr,   GasP_torr_se,         GasT_C,      GasT_C_se,         AmbT_C,      AmbT_C_se,         RD0_us,      RD0_us_se,         RD1_us,      RD1_us_se,       Fit_Flag
    06/03/14 11:06:58.545,    2.03566e+00,    0.00000e+00,    1.44835e+04,    0.00000e+00,    3.94530e+02,    0.00000e+00,    2.06558e+00,    0.00000e+00,    4.00328e+02,    0.00000e+00,    1.40468e+02,    0.00000e+00,    2.85443e+01,    0.00000e+00,    1.18523e+02,    0.00000e+00,    8.66463e+00,    0.00000e+00,    7.53726e+00,    0.00000e+00,              3
    06/03/14 11:06:58.958,    2.03887e+00,    0.00000e+00,    1.45915e+04,    0.00000e+00,    3.94583e+02,    0.00000e+00,    2.06906e+00,    0.00000e+00,    4.00425e+02,    0.00000e+00,    1.40383e+02,    0.00000e+00,    2.85361e+01,    0.00000e+00,    1.18614e+02,    0.00000e+00,    8.65581e+00,    0.00000e+00,    7.52927e+00,    0.00000e+00,              3
    06/03/14 11:06:59.371,    2.03103e+00,    0.00000e+00,    1.46229e+04,    0.00000e+00,    3.94101e+02,    0.00000e+00,    2.06117e+00,    0.00000e+00,    3.99949e+02,    0.00000e+00,    1.40371e+02,    0.00000e+00,    2.85519e+01,    0.00000e+00,    1.18441e+02,    0.00000e+00,    8.67769e+00,    0.00000e+00,    7.53719e+00,    0.00000e+00,              3
    06/03/14 11:06:59.783,    2.03532e+00,    0.00000e+00,    1.45507e+04,    0.00000e+00,    3.94969e+02,    0.00000e+00,    2.06537e+00,    0.00000e+00,    4.00801e+02,    0.00000e+00,    1.40420e+02,    0.00000e+00,    2.85432e+01,    0.00000e+00,    1.18548e+02,    0.00000e+00,    8.66291e+00,    0.00000e+00,    7.52769e+00,    0.00000e+00,              3
    06/03/14 11:07:00.196,    2.03787e+00,    0.00000e+00,    1.44970e+04,    0.00000e+00,    3.94518e+02,    0.00000e+00,    2.06784e+00,    0.00000e+00,    4.00321e+02,    0.00000e+00,    1.40421e+02,    0.00000e+00,    2.85400e+01,    0.00000e+00,    1.18574e+02,    0.00000e+00,    8.66218e+00,    0.00000e+00,    7.53114e+00,    0.00000e+00,              3
    06/03/14 11:07:00.609,    2.03131e+00,    0.00000e+00,    1.46110e+04,    0.00000e+00,    3.94454e+02,    0.00000e+00,    2.06143e+00,    0.00000e+00,    4.00303e+02,    0.00000e+00,    1.40443e+02,    0.00000e+00,    2.85414e+01,    0.00000e+00,    1.18558e+02,    0.00000e+00,    8.66309e+00,    0.00000e+00,    7.52341e+00,    0.00000e+00,              3
    06/03/14 11:07:01.022,    2.03762e+00,    0.00000e+00,    1.45843e+04,    0.00000e+00,    3.95506e+02,    0.00000e+00,    2.06778e+00,    0.00000e+00,    4.01359e+02,    0.00000e+00,    1.40482e+02,    0.00000e+00,    2.85479e+01,    0.00000e+00,    1.18516e+02,    0.00000e+00,    8.65961e+00,    0.00000e+00,    7.52251e+00,    0.00000e+00,              3
    06/03/14 11:07:01.435,    2.03269e+00,    0.00000e+00,    1.45747e+04,    0.00000e+00,    3.94673e+02,    0.00000e+00,    2.06275e+00,    0.00000e+00,    4.00511e+02,    0.00000e+00,    1.40364e+02,    0.00000e+00,    2.85486e+01,    0.00000e+00,    1.18469e+02,    0.00000e+00,    8.66654e+00,    0.00000e+00,    7.52565e+00,    0.00000e+00,              3
    06/03/14 11:07:01.847,    2.03302e+00,    0.00000e+00,    1.47876e+04,    0.00000e+00,    3.94586e+02,    0.00000e+00,    2.06353e+00,    0.00000e+00,    4.00509e+02,    0.00000e+00,    1.40375e+02,    0.00000e+00,    2.85478e+01,    0.00000e+00,    1.18495e+02,    0.00000e+00,    8.66704e+00,    0.00000e+00,    7.53847e+00,    0.00000e+00,              3
    06/03/14 11:07:02.260,    2.03582e+00,    0.00000e+00,    1.45533e+04,    0.00000e+00,    3.94623e+02,    0.00000e+00,    2.06588e+00,    0.00000e+00,    4.00451e+02,    0.00000e+00,    1.40399e+02,    0.00000e+00,    2.85422e+01,    0.00000e+00,    1.18563e+02,    0.00000e+00,    8.65693e+00,    0.00000e+00,    7.53396e+00,    0.00000e+00,              3
